,gene_id,name,family,class
1652,LOC_Os08g39830,OsEIL8,EIL,TF
1653,LOC_Os07g48630,OsEIL7,EIL,TF
1654,LOC_Os02g36510,OsEIL1,EIL,TF
1655,LOC_Os07g12210,OsEIL5,EIL,TF
1656,LOC_Os03g20790,OsEIL3,EIL,TF
1657,Bradi5g20607,BdGRF11,GRF,TF
1658,Bradi4g16450,BdGRF10,GRF,TF
1659,Bradi1g09900,BdGRF1,GRF,TF
1660,Bradi3g52547,BdGRF8,GRF,TF
1661,Bradi1g50597,BdGRF5,GRF,TF
1662,Bradi3g57267,BdGRF9,GRF,TF
1663,Bradi1g28400,BdGRF3,GRF,TF
1664,Bradi3g51685,BdGRF7,GRF,TF
1665,Bradi1g46427,BdGRF4,GRF,TF
1666,Bradi2g14320,BdGRF6,GRF,TF
1667,Bradi1g12650,BdGRF2,GRF,TF
1668,Sb04g034800,SbGRF6,GRF,TF
1669,Sb04g030770,SbGRF4,GRF,TF
1670,Sb02g032860,SbGRF3,GRF,TF
1671,Sb10g006690,SbGRF10,GRF,TF
1672,Sb04g031890,SbGRF5,GRF,TF
1673,Sb06g027465,SbGRF8,GRF,TF
1674,Sb01g012170,SbGRF2,GRF,TF
1675,Sb05g021480,SbGRF7,GRF,TF
1676,Sb10g001350,SbGRF9,GRF,TF
1677,Sb01g009330,SbGRF1,GRF,TF
1678,PTSo00559.1,ScGRF3,GRF,TF
1679,PTSo00557.1,ScGRF4,GRF,TF
1680,PTSo00556.1,ScGRF2,GRF,TF
1681,LOC_Os06g02560,OsGRF8,GRF,TF
1682,LOC_Os03g51970,OsGRF5,GRF,TF
1683,LOC_Os04g48510,OsGRF6,GRF,TF
1684,LOC_Os04g51190,OsGRF7,GRF,TF
1685,LOC_Os02g47280,OsGRF2,GRF,TF
1686,LOC_Os07g28430,OsGRF9,GRF,TF
1687,LOC_Os02g45570,OsGRF1,GRF,TF
1688,LOC_Os02g53690,OsGRF3,GRF,TF
1689,LOC_Os06g10310,OsOrphan69,GRF,TF
1690,LOC_Os11g35030,OsGRF10,GRF,TF
1691,LOC_Os03g47140,OsGRF4,GRF,TF
1692,LOC_Os12g29980,OsGRF11,GRF,TF
1693,Bradi3g23800,BdCAMTA6,CAMTA,TF
1694,Bradi2g59137,BdCAMTA5,CAMTA,TF
1695,Bradi1g27170,BdCAMTA2,CAMTA,TF
1696,Bradi5g08167,BdCAMTA7,CAMTA,TF
1697,Bradi1g21372,BdCAMTA1,CAMTA,TF
1698,Bradi1g60817,BdCAMTA3,CAMTA,TF
1699,Bradi1g71810,BdCAMTA4,CAMTA,TF
1700,Sb02g033620,SbCAMTA3,CAMTA,TF
1701,Sb02g039710,SbCAMTA4,CAMTA,TF
1702,Sb0012s010230,SbCAMTA6,CAMTA,TF
1703,Sb01g033650,SbCAMTA1,CAMTA,TF
1704,Sb01g044480,SbCAMTA2,CAMTA,TF
1705,Sb03g044220,SbCAMTA5,CAMTA,TF
1706,LOC_Os10g22950,OsCAMTA6,CAMTA,TF
1707,LOC_Os01g69910,OsCAMTA1,CAMTA,TF
1708,LOC_Os07g30774,OsCAMTA4,CAMTA,TF
1709,LOC_Os04g31900,OsCAMTA3,CAMTA,TF
1710,LOC_Os07g43030,OsCAMTA5,CAMTA,TF
1711,LOC_Os03g09100,OsCAMTA2,CAMTA,TF
1712,Bradi3g03510,BdSBP7,SBP,TF
1713,Bradi3g05510,BdSBP8,SBP,TF
1714,Bradi3g41250,BdSBP12,SBP,TF
1715,Bradi5g24670,BdSBP18,SBP,TF
1716,Bradi1g02760,BdSBP1,SBP,TF
1717,Bradi4g18900,BdSBP14,SBP,TF
1718,Bradi2g59110,BdSBP6,SBP,TF
1719,Bradi2g11240,BdSBP4,SBP,TF
1720,Bradi3g05720,BdSBP9,SBP,TF
1721,Bradi3g40030,BdSBP10,SBP,TF
1722,Bradi4g34667,BdSBP16,SBP,TF
1723,Bradi1g26720,BdSBP2,SBP,TF
1724,Bradi2g25580,BdSBP5,SBP,TF
1725,Bradi3g40240,BdSBP11,SBP,TF
1726,Bradi4g33770,BdSBP15,SBP,TF
1727,Bradi4g18890,BdSBP13,SBP,TF
1728,Bradi1g31390,BdSBP3,SBP,TF
1729,Bradi5g17720,BdSBP17,SBP,TF
1730,Sb03g011920,SbSBP5,SBP,TF
1731,Sb04g003175,SbSBP7,SBP,TF
1732,Sb07g027420,SbSBP14,SBP,TF
1733,Sb02g034180,SbSBP4,SBP,TF
1734,Sb03g044160,SbSBP6,SBP,TF
1735,Sb04g005180,SbSBP9,SBP,TF
1736,Sb06g024630,SbSBP11,SBP,TF
1737,Sb01g002530,SbSBP1,SBP,TF
1738,Sb04g004940,SbSBP8,SBP,TF
1739,Sb06g031290,SbSBP12,SBP,TF
1740,Sb05g017510,SbSBP10,SBP,TF
1741,Sb10g029190,SbSBP18,SBP,TF
1742,Sb09g020110,SbSBP16,SBP,TF
1743,Sb02g028420,SbSBP2,SBP,TF
1744,Sb07g027740,SbSBP15,SBP,TF
1745,Sb02g029300,SbSBP3,SBP,TF
1746,Sb07g026220,SbSBP13,SBP,TF
1747,Sb10g026200,SbSBP17,SBP,TF
1748,PTSo00986.1,ScSBP17,SBP,TF
1749,SCVPFL1135A11.g,ScSBP14,SBP,TF
1750,SCEZLB1008D09.g,ScSBP8,SBP,TF
1751,PTSo00985.1,ScSBP16,SBP,TF
1752,SCCCLR1069E11.g,ScSBP6,SBP,TF
1753,SCCCFL3001F03.g,ScSBP5,SBP,TF
1754,SCRFAD1023F12.g,ScSBP11,SBP,TF
1755,SCQGLR1062D05.g,ScSBP10,SBP,TF
1756,SCUTLR1037G08.g,ScSBP12,SBP,TF
1757,SCBFSB1048A12.g,ScSBP2,SBP,TF
1758,SCUTST3130A02.g,ScSBP13,SBP,TF
1759,SCACLR1126A02.g,ScSBP1,SBP,TF
1760,SCEQRT1030A02.g,ScSBP7,SBP,TF
1761,SCRLAM1005E03.g,ScSBP19,SBP,TF
1762,SCCCFL1003C01.g,ScSBP4,SBP,TF
1763,SCJFAM1067C06.g,ScSBP9,SBP,TF
1764,LOC_Os06g44860,OsSBP10,SBP,TF
1765,LOC_Os05g33810,OsSBP9,SBP,TF
1766,LOC_Os07g32170,OsSBP13,SBP,TF
1767,LOC_Os04g56170,OsSBP8,SBP,TF
1768,LOC_Os06g45310,OsSBP11,SBP,TF
1769,LOC_Os09g31438,OsSBP17,SBP,TF
1770,LOC_Os09g32944,OsSBP18,SBP,TF
1771,LOC_Os04g46580,OsSBP7,SBP,TF
1772,LOC_Os02g07780,OsSBP4,SBP,TF
1773,LOC_Os06g49010,OsSBP12,SBP,TF
1774,LOC_Os08g39890,OsSBP14,SBP,TF
1775,LOC_Os02g04680,OsSBP3,SBP,TF
1776,LOC_Os03g61760,OsSBP6,SBP,TF
1777,LOC_Os11g30370,,SBP,TF
1778,LOC_Os08g41940,OsSBP16,SBP,TF
1779,LOC_Os08g40260,OsSBP15,SBP,TF
1780,LOC_Os02g08070,OsSBP5,SBP,TF
1781,LOC_Os01g18850,OsSBP1,SBP,TF
1782,LOC_Os01g69830,OsSBP2,SBP,TF
1783,Bradi2g50687,BdTCP8,TCP,TF
1784,Bradi2g20060,BdTCP6,TCP,TF
1785,Bradi5g16270,BdTCP21,TCP,TF
1786,Bradi5g02880,BdTCP20,TCP,TF
1787,Bradi4g35670,BdTCP18,TCP,TF
1788,Bradi3g60350,BdTCP13,TCP,TF
1789,Bradi2g06890,BdTCP5,TCP,TF
1790,Bradi3g59320,BdTCP12,TCP,TF
1791,Bradi4g35520,BdTCP17,TCP,TF
1792,Bradi4g29980,BdTCP16,TCP,TF
1793,Bradi1g06460,BdTCP1,TCP,TF
1794,Bradi4g24550,BdTCP15,TCP,TF
1795,Bradi2g59240,BdTCP9,TCP,TF
1796,Bradi4g41430,BdTCP19,TCP,TF
1797,Bradi1g58450,BdTCP4,TCP,TF
1798,Bradi1g11060,BdTCP2,TCP,TF
1799,Bradi4g01547,BdTCP14,TCP,TF
1800,Bradi3g36590,BdTCP10,TCP,TF
1801,Bradi2g50190,BdTCP7,TCP,TF
1802,Bradi1g45220,BdTCP3,TCP,TF
1803,Bradi3g49660,BdTCP11,TCP,TF
1804,Sb06g002260,SbTCP18,TCP,TF
1805,Sb09g025340,SbTCP27,TCP,TF
1806,Sb05g004800,SbTCP17,TCP,TF
1807,Sb01g006020,SbTCP1,TCP,TF
1808,Sb08g021725,SbTCP26,TCP,TF
1809,Sb04g038140,SbTCP16,TCP,TF
1810,Sb01g010690,SbTCP2,TCP,TF
1811,Sb08g021690,SbTCP25,TCP,TF
1812,Sb03g035350,SbTCP12,TCP,TF
1813,Sb10g008030,SbTCP28,TCP,TF
1814,Sb06g023130,SbTCP20,TCP,TF
1815,Sb02g003070,SbTCP3,TCP,TF
1816,Sb03g013360,SbTCP8,TCP,TF
1817,Sb03g044320,SbTCP13,TCP,TF
1818,Sb03g019411,SbTCP9,TCP,TF
1819,Sb02g013020,SbTCP4,TCP,TF
1820,Sb03g019510,SbTCP10,TCP,TF
1821,Sb07g021140,SbTCP21,TCP,TF
1822,Sb08g019710,SbTCP24,TCP,TF
1823,Sb08g004610,SbTCP23,TCP,TF
1824,Sb04g027960,SbTCP15,TCP,TF
1825,Sb04g026970,SbTCP14,TCP,TF
1826,Sb02g030260,SbTCP6,TCP,TF
1827,Sb03g034918,SbTCP11,TCP,TF
1828,Sb02g024450,SbTCP5,TCP,TF
1829,Sb03g001940,SbTCP7,TCP,TF
1830,Sb08g004600,SbTCP22,TCP,TF
1831,Sb06g016340,SbTCP19,TCP,TF
1832,SCQSLB1052B11.g,ScbHLH18,TCP,TF
1833,SCJLRT1023A09.g,ScbHLH14,TCP,TF
1834,SCEPAM1018C05.g,ScTCP2,TCP,TF
1835,LOC_Os02g51280,OsTCP5,TCP,TF
1836,LOC_Os12g02090,OsTCP21,TCP,TF
1837,LOC_Os04g11830,OsTCP9,TCP,TF
1838,LOC_Os12g07480,OsTCP22,TCP,TF
1839,LOC_Os01g11550,OsTCP1,TCP,TF
1840,LOC_Os06g12230,OsTCP12,TCP,TF
1841,LOC_Os02g42380,OsTCP4,TCP,TF
1842,LOC_Os08g33530,OsTCP15,TCP,TF
1843,LOC_Os01g69980,OsTCP3,TCP,TF
1844,LOC_Os01g55750,OsTCP2,TCP,TF
1845,LOC_Os07g04510,OsTCP13,TCP,TF
1846,LOC_Os07g05720,OsTCP14,TCP,TF
1847,LOC_Os04g44440,OsTCP10,TCP,TF
1848,LOC_Os11g07460,OsTCP20,TCP,TF
1849,LOC_Os09g34950,OsTCP18,TCP,TF
1850,LOC_Os09g24480,OsTCP17,TCP,TF
1851,LOC_Os12g42190,OsTCP23,TCP,TF
1852,LOC_Os08g43160,OsTCP16,TCP,TF
1853,LOC_Os02g51310,OsTCP6,TCP,TF
1854,LOC_Os03g57190,OsTCP8,TCP,TF
1855,LOC_Os05g43760,OsTCP11,TCP,TF
1856,LOC_Os03g49880,OsTCP7,TCP,TF
1857,Bradi2g56070,BdTUB6,TUB,TF
1858,Bradi3g13080,BdTUB7,TUB,TF
1859,Bradi2g46350,BdTUB5,TUB,TF
1860,Bradi3g52767,BdTUB8,TUB,TF
1861,Bradi1g18380,BdTUB1,TUB,TF
1862,Bradi4g41820,BdTUB10,TUB,TF
1863,Bradi5g27110,BdTUB11,TUB,TF
1864,Bradi2g24110,BdTUB4,TUB,TF
1865,Bradi2g19960,BdTUB3,TUB,TF
1866,Bradi4g24740,BdTUB9,TUB,TF
1867,Bradi1g62390,BdTUB2,TUB,TF
1868,Sb09g028330,SbTUB13,TUB,TF
1869,Sb03g030910,SbTUB3,TUB,TF
1870,Sb09g021590,SbTUB11,TUB,TF
1871,Sb08g004000,SbTUB10,TUB,TF
1872,Sb07g000420,SbTUB9,TUB,TF
1873,Sb02g042210,SbTUB2,TUB,TF
1874,Sb01g035360,SbTUB1,TUB,TF
1875,Sb09g025430,SbTUB12,TUB,TF
1876,Sb04g005380,SbTUB5,TUB,TF
1877,Sb05g003900,SbTUB7,TUB,TF
1878,Sb06g033820,SbTUB8,TUB,TF
1879,Sb03g040940,SbTUB4,TUB,TF
1880,Sb04g030550,SbTUB6,TUB,TF
1881,PTSo01018.1,ScTLP10,TUB,TF
1882,SCJFRT2060G09.g,ScTUB6,TUB,TF
1883,PTSo01013.1,ScTLP2,TUB,TF
1884,SCACLV1022E05.g,ScTUB17,TUB,TF
1885,SCQGRT1042C12.g,ScTUB9,TUB,TF
1886,PTSo01012.1,ScTLP1,TUB,TF
1887,PTSo01017.1,ScTLP3,TUB,TF
1888,SCCCCL3001G03.g,ScTUB1,TUB,TF
1889,SCSBSB1095F11.g,ScTUB18,TUB,TF
1890,PTSo00999.1,ScTLP7,TUB,TF
1891,PTSo01009.1,ScTLP11,TUB,TF
1892,PTSo01024.1,ScTLP9,TUB,TF
1893,PTSo01021.1,ScTLP14,TUB,TF
1894,PTSo00994.1,ScTLP8,TUB,TF
1895,SCCCCL4001D08.g,ScTUB2,TUB,TF
1896,SCJFRZ2032E09.g,ScTUB7,TUB,TF
1897,SCQGFL3058A02.g,ScTUB13,TUB,TF
1898,SCJFST1017B02.g,ScTUB8,TUB,TF
1899,SCVPAM1059D02.g,ScTUB16,TUB,TF
1900,PTSo00992.1,ScTLP4,TUB,TF
1901,SCEZLB1007H01.g,ScTUB3,TUB,TF
1902,PTSo01007.1,ScTLP6,TUB,TF
1903,PTSo01008.1,ScTLP13,TUB,TF
1904,SCEZRZ1016C02.g,ScTUB4,TUB,TF
1905,SCJFAM1065C07.b,ScTUB14,TUB,TF
1906,PTSo01023.1,ScTLP12,TUB,TF
1907,SCBGST3111F08.g,ScTUB15,TUB,TF
1908,PTSo01011.1,ScTLP5,TUB,TF
1909,SCJFLR1073E10.g,ScTUB5,TUB,TF
1910,LOC_Os07g47110,OsTUB11,TUB,TF
1911,LOC_Os03g22655,,TUB,TF
1912,LOC_Os08g01290,OsTUB12,TUB,TF
1913,LOC_Os02g08310,OsTUB4,TUB,TF
1914,LOC_Os02g47640,OsTUB5,TUB,TF
1915,LOC_Os11g06420,OsTUB13,TUB,TF
1916,LOC_Os12g06630,OsTUB14,TUB,TF
1917,LOC_Os03g22800,OsTUB6,TUB,TF
1918,LOC_Os01g55430,OsTUB2,TUB,TF
1919,LOC_Os01g48370,OsTUB1,TUB,TF
1920,LOC_Os04g59130,OsTUB7,TUB,TF
1921,LOC_Os05g48670,OsTUB10,TUB,TF
1922,LOC_Os05g36190,OsTUB8,TUB,TF
1923,LOC_Os01g64700,OsTUB3,TUB,TF
1924,LOC_Os05g43850,OsTUB9,TUB,TF
1925,Bradi1g63220,BdWRKY16,WRKY,TF
1926,Bradi2g53480,BdWRKY45,WRKY,TF
1927,Bradi1g30870,BdWRKY11,WRKY,TF
1928,Bradi4g44350,BdWRKY74,WRKY,TF
1929,Bradi1g51030,BdWRKY14,WRKY,TF
1930,Bradi2g48090,BdWRKY41,WRKY,TF
1931,Bradi4g30370,BdWRKY71,WRKY,TF
1932,Bradi5g20290,BdWRKY81,WRKY,TF
1933,Bradi1g08106,BdWRKY3,WRKY,TF
1934,Bradi5g04817,BdWRKY78,WRKY,TF
1935,Bradi4g44370,BdWRKY76,WRKY,TF
1936,Bradi4g01950,BdWRKY63,WRKY,TF
1937,Bradi2g45900,BdWRKY40,WRKY,TF
1938,Bradi1g48770,BdWRKY13,WRKY,TF
1939,Bradi2g15360,BdWRKY24,WRKY,TF
1940,Bradi2g44090,BdWRKY37,WRKY,TF
1941,Bradi2g15405,BdWRKY25,WRKY,TF
1942,Bradi2g16357,BdWRKY28,WRKY,TF
1943,Bradi3g34567,BdWRKY57,WRKY,TF
1944,Bradi1g16120,BdWRKY7,WRKY,TF
1945,Bradi2g22230,BdWRKY31,WRKY,TF
1946,Bradi2g62130,BdWRKY52,WRKY,TF
1947,Bradi3g52420,BdWRKY61,WRKY,TF
1948,Bradi2g18530,BdWRKY29,WRKY,TF
1949,Bradi4g44342,BdWRKY73,WRKY,TF
1950,Bradi4g02680,BdWRKY64,WRKY,TF
1951,Bradi1g22680,BdWRKY9,WRKY,TF
1952,Bradi4g44360,BdWRKY75,WRKY,TF
1953,Bradi3g19640,BdWRKY56,WRKY,TF
1954,Bradi1g17660,BdWRKY8,WRKY,TF
1955,Bradi5g17395,BdWRKY80,WRKY,TF
1956,Bradi1g14300,BdWRKY6,WRKY,TF
1957,Bradi2g30800,BdWRKY34,WRKY,TF
1958,Bradi2g49020,BdWRKY43,WRKY,TF
1959,Bradi4g06690,BdWRKY65,WRKY,TF
1960,Bradi3g34850,BdWRKY58,WRKY,TF
1961,Bradi2g00280,BdWRKY18,WRKY,TF
1962,Bradi2g45480,BdWRKY39,WRKY,TF
1963,Bradi2g08620,BdWRKY22,WRKY,TF
1964,Bradi3g09810,BdWRKY54,WRKY,TF
1965,Bradi1g63910,BdWRKY17,WRKY,TF
1966,Bradi4g25717,BdWRKY68,WRKY,TF
1967,Bradi1g13207,BdWRKY5,WRKY,TF
1968,Bradi2g53520,BdWRKY49,WRKY,TF
1969,Bradi1g02327,BdWRKY1,WRKY,TF
1970,Bradi2g53500,BdWRKY47,WRKY,TF
1971,Bradi1g59180,BdWRKY15,WRKY,TF
1972,Bradi1g23340,BdWRKY10,WRKY,TF
1973,Bradi2g11170,BdWRKY23,WRKY,TF
1974,Bradi2g30695,BdWRKY33,WRKY,TF
1975,Bradi2g49906,BdWRKY44,WRKY,TF
1976,Bradi2g05500,BdWRKY20,WRKY,TF
1977,Bradi2g16150,BdWRKY27,WRKY,TF
1978,Bradi2g44270,BdWRKY38,WRKY,TF
1979,Bradi2g53495,BdWRKY46,WRKY,TF
1980,Bradi4g33370,BdWRKY72,WRKY,TF
1981,Bradi3g57710,BdWRKY62,WRKY,TF
1982,Bradi2g05234,BdWRKY19,WRKY,TF
1983,Bradi4g30360,BdWRKY70,WRKY,TF
1984,Bradi2g44035,BdWRKY36,WRKY,TF
1985,Bradi5g20700,BdWRKY82,WRKY,TF
1986,Bradi2g22440,BdWRKY32,WRKY,TF
1987,Bradi2g33540,BdWRKY35,WRKY,TF
1988,Bradi4g45290,BdWRKY77,WRKY,TF
1989,Bradi1g47690,BdWRKY12,WRKY,TF
1990,Bradi4g19060,BdWRKY67,WRKY,TF
1991,Bradi1g07970,BdWRKY2,WRKY,TF
1992,Bradi2g54720,BdWRKY51,WRKY,TF
1993,Bradi1g09170,BdWRKY4,WRKY,TF
1994,Bradi2g05510,BdWRKY21,WRKY,TF
1995,Bradi5g13090,BdWRKY79,WRKY,TF
1996,Bradi3g18580,BdWRKY55,WRKY,TF
1997,Bradi4g28280,BdWRKY69,WRKY,TF
1998,Bradi2g19070,BdWRKY30,WRKY,TF
1999,Bradi4g09890,BdWRKY66,WRKY,TF
2000,Bradi2g53760,BdWRKY50,WRKY,TF
2001,Bradi2g53510,BdWRKY48,WRKY,TF
2002,Bradi2g48907,BdWRKY42,WRKY,TF
2003,Bradi3g06070,BdWRKY53,WRKY,TF
2004,Bradi2g15877,BdWRKY26,WRKY,TF
2005,Bradi3g39340,BdWRKY59,WRKY,TF
2006,Bradi3g50360,BdWRKY60,WRKY,TF
2007,Sb03g028440,SbWRKY30,WRKY,TF
2008,Sb04g030930,SbWRKY49,WRKY,TF
2009,Sb02g008880,SbWRKY13,WRKY,TF
2010,Sb03g038210,SbWRKY42,WRKY,TF
2011,Sb06g019710,SbWRKY60,WRKY,TF
2012,Sb03g034670,SbWRKY37,WRKY,TF
2013,Sb04g016540,SbWRKY48,WRKY,TF
2014,Sb09g015900,SbWRKY80,WRKY,TF
2015,Sb06g027290,SbWRKY62,WRKY,TF
2016,Sb01g036870,SbWRKY11,WRKY,TF
2017,Sb10g025600,SbWRKY94,WRKY,TF
2018,Sb03g003640,SbWRKY26,WRKY,TF
2019,Sb07g019400,SbWRKY68,WRKY,TF
2020,Sb02g027950,SbWRKY20,WRKY,TF
2021,Sb09g028660,SbWRKY85,WRKY,TF
2022,Sb03g039550,SbWRKY44,WRKY,TF
2023,Sb04g005520,SbWRKY46,WRKY,TF
2024,Sb02g024760,SbWRKY18,WRKY,TF
2025,Sb03g011800,SbWRKY27,WRKY,TF
2026,Sb05g001175,SbWRKY53,WRKY,TF
2027,Sb01g005070,SbWRKY2,WRKY,TF
2028,Sb01g032120,SbWRKY9,WRKY,TF
2029,Sb05g001170,SbWRKY52,WRKY,TF
2030,Sb09g028750,SbWRKY86,WRKY,TF
2031,Sb02g000960,SbWRKY12,WRKY,TF
2032,Sb07g005740,SbWRKY64,WRKY,TF
2033,Sb01g007480,SbWRKY3,WRKY,TF
2034,Sb01g036180,SbWRKY10,WRKY,TF
2035,Sb02g022280,SbWRKY16,WRKY,TF
2036,Sb07g016330,SbWRKY67,WRKY,TF
2037,Sb08g005080,SbWRKY75,WRKY,TF
2038,Sb03g038180,SbWRKY39,WRKY,TF
2039,Sb03g033780,SbWRKY36,WRKY,TF
2040,Sb05g001220,SbWRKY57,WRKY,TF
2041,Sb08g020270,SbWRKY77,WRKY,TF
2042,Sb03g047350,SbWRKY45,WRKY,TF
2043,Sb03g032800,SbWRKY34,WRKY,TF
2044,Sb04g033240,SbWRKY50,WRKY,TF
2045,Sb02g037660,SbWRKY21,WRKY,TF
2046,Sb03g033640,SbWRKY35,WRKY,TF
2047,Sb05g001200,SbWRKY55,WRKY,TF
2048,Sb03g003370,SbWRKY25,WRKY,TF
2049,Sb09g029050,SbWRKY87,WRKY,TF
2050,Sb03g026170,SbWRKY28,WRKY,TF
2051,Sb07g028430,SbWRKY69,WRKY,TF
2052,Sb10g025590,SbWRKY93,WRKY,TF
2053,Sb09g023270,SbWRKY81,WRKY,TF
2054,Sb01g014180,SbWRKY7,WRKY,TF
2055,Sb03g038190,SbWRKY40,WRKY,TF
2056,Sb02g022290,SbWRKY17,WRKY,TF
2057,Sb10g019923,SbWRKY91,WRKY,TF
2058,Sb09g029810,SbWRKY88,WRKY,TF
2059,Sb06g027710,SbWRKY63,WRKY,TF
2060,Sb08g002520,SbWRKY70,WRKY,TF
2061,Sb03g030480,SbWRKY33,WRKY,TF
2062,Sb08g002560,SbWRKY72,WRKY,TF
2063,Sb03g003360,SbWRKY24,WRKY,TF
2064,Sb09g005700,SbWRKY78,WRKY,TF
2065,Sb09g026350,SbWRKY83,WRKY,TF
2066,Sb10g020010,SbWRKY92,WRKY,TF
2067,Sb09g010210,SbWRKY79,WRKY,TF
2068,Sb02g043030,SbWRKY22,WRKY,TF
2069,Sb08g002590,SbWRKY74,WRKY,TF
2070,Sb08g002540,SbWRKY71,WRKY,TF
2071,Sb04g009800,SbWRKY47,WRKY,TF
2072,Sb01g007570,SbWRKY4,WRKY,TF
2073,Sb01g027770,SbWRKY8,WRKY,TF
2074,Sb03g026280,SbWRKY29,WRKY,TF
2075,Sb03g038200,SbWRKY41,WRKY,TF
2076,Sb03g038170,SbWRKY38,WRKY,TF
2077,Sb02g011050,SbWRKY14,WRKY,TF
2078,Sb07g006980,SbWRKY66,WRKY,TF
2079,Sb07g006230,SbWRKY65,WRKY,TF
2080,Sb01g000696,SbWRKY1,WRKY,TF
2081,Sb06g013835,SbWRKY59,WRKY,TF
2082,Sb09g026830,SbWRKY84,WRKY,TF
2083,Sb08g016240,SbWRKY76,WRKY,TF
2084,Sb01g008550,SbWRKY5,WRKY,TF
2085,Sb05g001210,SbWRKY56,WRKY,TF
2086,Sb03g028530,SbWRKY31,WRKY,TF
2087,Sb01g012870,SbWRKY6,WRKY,TF
2088,Sb05g017130,SbWRKY58,WRKY,TF
2089,Sb05g001180,SbWRKY54,WRKY,TF
2090,Sb06g024220,SbWRKY61,WRKY,TF
2091,Sb03g029920,SbWRKY32,WRKY,TF
2092,Sb02g021226,SbWRKY15,WRKY,TF
2093,Sb03g000240,SbWRKY23,WRKY,TF
2094,Sb10g004000,SbWRKY90,WRKY,TF
2095,Sb09g023500,SbWRKY82,WRKY,TF
2096,Sb02g024765,SbWRKY19,WRKY,TF
2097,Sb09g029850,SbWRKY89,WRKY,TF
2098,Sb03g038510,SbWRKY43,WRKY,TF
2099,Sb04g034440,SbWRKY51,WRKY,TF
2100,Sb08g002570,SbWRKY73,WRKY,TF
2101,SCSFHR1042G07.g,ScWRKY30,WRKY,TF
2102,SCVPFL1065B09.g,ScWRKY37,WRKY,TF
2103,SCQGLR2017H06.g,ScWRKY19,WRKY,TF
2104,SCEZHR1047A03.g,ScWRKY13,WRKY,TF
2105,SCCCLR1024C06.g,ScWRKY6,WRKY,TF
2106,SCQGRT1044D10.g,ScWRKY22,WRKY,TF
2107,SCRLAM1006H11.g,ScWRKY27,WRKY,TF
2108,SCEZRT2021G05.g,ScWRKY48,WRKY,TF
2109,SCCCLR1068H01.g,ScWRKY8,WRKY,TF
2110,SCACST3161A12.g,ScWRKY2,WRKY,TF
2111,PTSo01043.1,ScWRKY39,WRKY,TF
2112,SCUTAM2005H01.g,ScWRKY34,WRKY,TF
2113,SCRLFL3006G02.g,ScWRKY28,WRKY,TF
2114,SCCCCL4001A01.g,ScWRKY42,WRKY,TF
2115,SCQSRT2033A10.g,ScWRKY25,WRKY,TF
2116,SCQGRZ3013H11.g,ScWRKY44,WRKY,TF
2117,SCRUAD1064F09.g,ScWRKY29,WRKY,TF
2118,SCSGHR1066H10.g,ScWRKY31,WRKY,TF
2119,SCEQRT1027D04.g,ScWRKY12,WRKY,TF
2120,SCJLRT1020H07.g,ScWRKY17,WRKY,TF
2121,SCCCRT2004F04.g,ScWRKY11,WRKY,TF
2122,SCUTLR2023G02.g,ScWRKY35,WRKY,TF
2123,SCJLSB1060C04.b,ScWRKY45,WRKY,TF
2124,SCBGAD1026G11.g,ScWRKY5,WRKY,TF
2125,SCCCLR1C04F11.g,ScWRKY9,WRKY,TF
2126,SCMCRT2103F02.g,ScWRKY18,WRKY,TF
2127,SCQSRT2033A08.g,ScWRKY24,WRKY,TF
2128,SCCCRT2001F08.g,ScWRKY46,WRKY,TF
2129,SCAGST3141B07.g,ScWRKY4,WRKY,TF
2130,SCACLR1036E09.g,ScWRKY1,WRKY,TF
2131,SCJFRZ3C03E04.g,ScWRKY16,WRKY,TF
2132,SCAGLR1043F09.g,ScWRKY3,WRKY,TF
2133,SCJFRZ2009D12.g,ScWRKY15,WRKY,TF
2134,SCSGLR1025B04.g,ScWRKY32,WRKY,TF
2135,SCRFAM2074G09.g,ScWRKY26,WRKY,TF
2136,SCEZSD1083D07.g,ScWRKY14,WRKY,TF
2137,PTSo01039.1,ScWRKY40,WRKY,TF
2138,SCCCLR1024D06.g,ScWRKY7,WRKY,TF
2139,SCRFLR2037F05.g,ScWRKY49,WRKY,TF
2140,SCMCCL6049H11.g,ScWRKY47,WRKY,TF
2141,SCQGLR2025A07.g,ScWRKY20,WRKY,TF
2142,PTSo01045.1,ScWRKY38,WRKY,TF
2143,SCQGLR2025E03.g,ScWRKY21,WRKY,TF
2144,SCCCLR2002B05.g,ScWRKY10,WRKY,TF
2145,SCSGST1072F10.g,ScWRKY33,WRKY,TF
2146,SCVPAM1055F07.g,ScWRKY36,WRKY,TF
2147,SCBFRZ3009B07.g,ScWRKY43,WRKY,TF
2148,SCQGST1029F11.g,ScWRKY23,WRKY,TF
2149,LOC_Os06g30860,OsWRKY67,WRKY,TF
2150,LOC_Os05g39720,OsWRKY54,WRKY,TF
2151,LOC_Os01g60540,OsWRKY18,WRKY,TF
2152,LOC_Os11g29870,OsWRKY94,WRKY,TF
2153,LOC_Os01g40430,OsWRKY7,WRKY,TF
2154,LOC_Os05g50610,OsWRKY63,WRKY,TF
2155,LOC_Os07g02060,OsWRKY69,WRKY,TF
2156,LOC_Os11g02470,OsWRKY89,WRKY,TF
